UniqueID,MAIN_CROP,MAIN_CROP_DATE,YR_PLANTED,ACRES,COUNTY,REGION,HYDRO_RGN,CROPTYP1,CLASS1,SUBCLASS1,study_region,is_unit,nearest_station_km
1519054,D12,56.0,2006,79.16345389239103,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,12.55
1519060,D12,,2005,96.87767157406847,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,3.9
1519097,D12,,2017,39.83989171291809,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,15.2
1519260,D12,,2006,97.49435973071091,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,3.91
1519460,D12,41.0,2004,37.36032709816237,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,0.91
1519546,D12,,2007,76.06758405466813,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,3.0
1519582,D12,,2005,41.791929156267884,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,2.78
1519616,D12,65.0,2005,19.80770891019434,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,1.18
1519668,D12,65.0,2005,51.795483432068,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,1.95
1519786,D12,49.0,2004,39.92662048094072,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,10.66
1519892,D12,,2016,33.12344636319154,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,7.53
1519926,D12,,2016,50.03626415125962,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,20.89
1520049,D12,,2005,77.45575242212882,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,3.02
1520091,D12,,2018,77.42077003623169,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,14.92
1520095,D12,,2016,42.36802685176463,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,11.3
1520321,D12,,2015,64.45540387859738,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,19.16
1520323,D12,,2005,21.74461195955097,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,3.36
1520432,D12,,2016,76.29688952246136,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,19.71
1520448,D12,,2016,73.1549693117663,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,19.32
1520518,D12,41.0,2004,38.11447647391453,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,0.67
1520542,D12,,2015,38.877037374167344,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,19.11
1520568,D12,,2017,46.83871988158615,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,11.44
1500060,D12,63.0,2002,159.71101938413486,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,16.7
1500066,D12,,2015,77.58080504807553,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,18.96
1500104,D12,65.0,2005,20.237931539048617,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,1.98
1500202,D12,,2005,43.066386140237896,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,3.06
1500300,D12,65.0,2005,46.39058276482738,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,2.4
1500450,D12,,2017,20.56782092720688,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,17.02
